display,sentence,target word,cloze probability,Log Hal Frequency,Phonological Neighbors,Semantic Neighborhood Density,Response Entropy,densityA,densityB,full_sentence,iti_dur_ms,trial_dur_ms,ShowProgressBar,randomise_blocks
instructions,,,,,,,,,,,,,,1
trial,Above the treehouse were the bees made their ,hive,0.6,8.22,15,0.48,1.55,2,13,Above the treehouse were the bees made their hive,500.0,10000.0,0.0,1
break,,,,,,,,,,,,,1.0,1
trial,There were hundreds of bees buzzing around the ,hive,0.68,8.22,15,0.48,2.17,2,13,There were hundreds of bees buzzing around the hive,500.0,10000.0,0.0,1
break,,,,,,,,,,,,,1.0,1
trial,The infant cried when she got stung by a ,bee,0.9,8.10,28,0.59,0.58,\N,\N,The infant cried when she got stung by a bee,500.0,10000.0,0.0,1
end,,,,,,,,,,,,,,1
instructions,,,,,,,,,,,,,,2
trial,The infant cried when she got stung by a ,bee,0.9,8.10,28,0.59,0.58,\N,\N,The infant cried when she got stung by a bee,500.0,10000.0,0.0,2
break,,,,,,,,,,,,,1.0,2
trial,When he was six Martin was stung by a ,bee,0.75,8.10,28,0.59,1.12,\N,\N,When he was six Martin was stung by a bee,500.0,10000.0,0.0,2
break,,,,,,,,,,,,,1.0,2
trial,The bird was so startled it fell from its ,nest,0.62,7.85,16,0.58,1.57,20,13,The bird was so startled it fell from its nest,500.0,10000.0,0.0,2
end,,,,,,,,,,,,,,2
instructions,,,,,,,,,,,,,,3
trial,The bird was so startled it fell from its ,nest,0.62,7.85,16,0.58,1.57,20,13,The bird was so startled it fell from its nest,500.0,10000.0,0.0,3
break,,,,,,,,,,,,,1.0,3
trial,He called home from college saying he'd met a ,girl,0.86,10.61,15,0.66,0.95,220,15,He called home from college saying he'd met a girl,500.0,10000.0,0.0,3
break,,,,,,,,,,,,,1.0,3
trial,The expectant mother was told she was having a ,boy,0.49,10.67,17,0.67,1.94,242,11,The expectant mother was told she was having a boy,500.0,10000.0,0.0,3
end,,,,,,,,,,,,,,3
instructions,,,,,,,,,,,,,,4
trial,The expectant mother was told she was having a ,boy,0.49,10.67,17,0.67,1.94,242,11,The expectant mother was told she was having a boy,500.0,10000.0,0.0,4
break,,,,,,,,,,,,,1.0,4
trial,From so far away Kay looked like a small ,child,0.36,11.08,6,0.68,3.28,213,3,From so far away Kay looked like a small child,500.0,10000.0,0.0,4
break,,,,,,,,,,,,,1.0,4
trial,The student spent every recess with his best ,friend,0.93,11.30,4,0.67,0.41,133,3,The student spent every recess with his best friend,500.0,10000.0,0.0,4
end,,,,,,,,,,,,,,4
instructions,,,,,,,,,,,,,,5
trial,The student spent every recess with his best ,friend,0.93,11.30,4,0.67,0.41,133,3,The student spent every recess with his best friend,500.0,10000.0,0.0,5
break,,,,,,,,,,,,,1.0,5
trial,Even the mother's singing couldn't calm the screaming ,baby,0.75,10.49,4,0.65,1.07,62,4,Even the mother's singing couldn't calm the screaming baby,500.0,10000.0,0.0,5
break,,,,,,,,,,,,,1.0,5
